gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
1/30/18,8:30,Regular,Arthur,Darrell,DEN,West,Northwest,Away,Loss,0,Forte,Brian,Richardson,Leroy,Fraher,Pat,Darrell Arthur,Starter,19,PF,81,225,3/25/88,10,2,1,1,1,1,6,4,0.6667,4,3,0.75,2,1,0.5,1,1,1,0,3,3,SA,West,Southwest,Home,Win,2
2/5/18,9:00,Regular,Arthur,Darrell,DEN,West,Northwest,Home,Win,2,Fitzgerald,Kane,Scott,Kevin,Nansel,Brett,Darrell Arthur,Bench,14,PF,81,225,3/25/88,10,1,1,2,0,3,5,4,0.8,2,2,1,3,2,0.6667,0,0,0,0,1,1,CHA,East,Southeast,Away,Loss,1
2/10/18,9:00,Regular,Arthur,Darrell,DEN,West,Northwest,Away,Win,1,Goble,John,Kogut,Marat,Holtkamp,Lauren,Darrell Arthur,Bench,7,PF,81,225,3/25/88,7,0,1,1,0,3,3,3,1,3,3,1,0,0,0,2,1,0.5,0,2,2,PHO,West,Pacific,Home,Loss,2
12/12/17,7:00,Regular,Arthur,Darrell,DEN,West,Northwest,Away,Win,2,Workman,Haywoode,Williams,James,Brown,Tony,Darrell Arthur,Bench,15,PF,81,225,3/25/88,5,0,5,1,0,2,6,2,0.3333,1,1,1,5,1,0.2,0,0,0,0,2,2,DET,East,Central,Home,Loss,2
2/3/18,9:00,Regular,Arthur,Darrell,DEN,West,Northwest,Home,Win,1,Taylor,Ben,Malloy,Ed,Acosta,Ray,Darrell Arthur,Bench,14,PF,81,225,3/25/88,5,3,3,0,0,1,6,2,0.3333,3,1,0.3333,3,1,0.3333,0,0,0,1,0,1,GS,West,Pacific,Away,Loss,0
2/13/18,10:30,Regular,Arthur,Darrell,DEN,West,Northwest,Home,Win,3,Orr,J.T.,Zielinski,Gary,Washington,Tom,Darrell Arthur,Bench,6,PF,81,225,3/25/88,5,0,2,1,0,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,SA,West,Southwest,Away,Loss,1
2/9/18,8:00,Regular,Arthur,Darrell,DEN,West,Northwest,Away,Loss,3,Goble,Jacyn,Williams,James,Mott,Rodney,Darrell Arthur,Bench,7,PF,81,225,3/25/88,4,0,0,0,0,1,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,HOU,West,Southwest,Home,Win,2
3/11/18,5:00,Regular,Arthur,Darrell,DEN,West,Northwest,Home,Win,1,Smith,Aaron,Kirkland,Courtney,Zarba,Zach,Darrell Arthur,Bench,4,PF,81,225,3/25/88,3,0,0,0,0,0,3,1,0.3333,1,0,0,2,1,0.5,0,0,0,0,0,0,SAC,West,Pacific,Away,Loss,1
3/21/18,8:00,Regular,Arthur,Darrell,DEN,West,Northwest,Away,Win,2,Adams,Bennie,Davis,Marc,Sterling,Jonathan,Darrell Arthur,Bench,7,PF,81,225,3/25/88,3,0,0,0,1,2,2,1,0.5,0,0,0,2,1,0.5,0,0,0,0,0,0,CHI,East,Central,Home,Loss,2
11/4/17,9:00,Regular,Arthur,Darrell,DEN,West,Northwest,Home,Loss,1,Guthrie,David,Holtkamp,Lauren,Wood,Leon,Darrell Arthur,Bench,7,PF,81,225,3/25/88,2,1,0,0,0,2,4,1,0.25,2,1,0.5,2,0,0,0,0,0,1,1,2,GS,West,Pacific,Away,Win,2
10/30/17,7:30,Regular,Arthur,Darrell,DEN,West,Northwest,Away,Loss,1,Buchert,Nick,Petraitis,Gediminas,Lewis,Eric,Darrell Arthur,Bench,12,PF,81,225,3/25/88,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,NY,East,Atlantic,Home,Win,1
12/2/17,9:00,Regular,Arthur,Darrell,DEN,West,Northwest,Home,Win,2,Maddox,Tre,Taylor,Ben,Davis,Marc,Darrell Arthur,Bench,5,PF,81,225,3/25/88,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LAL,West,Pacific,Away,Loss,2
12/27/17,8:00,Regular,Arthur,Darrell,DEN,West,Northwest,Away,Loss,0,Workman,Haywoode,Buchert,Nick,Capers,James,Darrell Arthur,Bench,5,PF,81,225,3/25/88,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,MIN,West,Northwest,Home,Win,1
1/13/18,8:30,Regular,Arthur,Darrell,DEN,West,Northwest,Away,Loss,0,Lane,Karl,Ford,Tyler,Lewis,Eric,Darrell Arthur,Bench,5,PF,81,225,3/25/88,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,SA,West,Southwest,Home,Win,1
1/25/18,9:00,Regular,Arthur,Darrell,DEN,West,Northwest,Home,Win,3,Buchert,Nick,Taylor,Dedric,Foster,Scott,Darrell Arthur,Bench,1,PF,81,225,3/25/88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,East,Atlantic,Away,Loss,1
2/1/18,10:30,Regular,Arthur,Darrell,DEN,West,Northwest,Home,Win,2,Zarba,Zach,Brown,Tony,Van Duyne,Justin,Darrell Arthur,Bench,1,PF,81,225,3/25/88,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,OKC,West,Northwest,Away,Loss,2
2/15/18,8:00,Regular,Arthur,Darrell,DEN,West,Northwest,Away,Win,1,Wright,Sean,Wall,Scott,Collins,Derrick,Darrell Arthur,Bench,12,PF,81,225,3/25/88,0,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,MIL,East,Central,Home,Loss,2
3/2/18,8:00,Regular,Arthur,Darrell,DEN,West,Northwest,Away,Win,2,Kogut,Marat,Cutler,Kevin,Brothers,Tony,Darrell Arthur,Bench,0,PF,81,225,3/25/88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,West,Southwest,Home,Loss,2
3/13/18,10:30,Regular,Arthur,Darrell,DEN,West,Northwest,Away,Loss,2,Workman,Haywoode,Corbin,Sean,Washington,Tom,Darrell Arthur,Bench,0,PF,81,225,3/25/88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAL,West,Pacific,Home,Win,2
4/5/18,10:30,Regular,Harris,Devin,DEN,West,Northwest,Home,Win,2,Williams,James,Petraitis,Gediminas,Mauer,Ken,Devin Harris,Bench,20,PG,75,185,2/27/83,20,1,2,0,0,2,11,6,0.5455,2,1,0.5,9,5,0.5556,3,3,1,0,3,3,MIN,West,Northwest,Away,Loss,4
3/21/18,8:00,Regular,Harris,Devin,DEN,West,Northwest,Away,Win,2,Adams,Bennie,Davis,Marc,Sterling,Jonathan,Devin Harris,Bench,25,PG,75,185,2/27/83,14,5,3,1,1,1,8,5,0.625,2,2,1,6,3,0.5,1,1,1,1,2,3,CHI,East,Central,Home,Loss,2
3/19/18,7:30,Regular,Harris,Devin,DEN,West,Northwest,Away,Loss,1,Petraitis,Gediminas,Phillips,Jason,Ayotte,Mark,Devin Harris,Bench,27,PG,75,185,2/27/83,13,9,3,1,0,3,8,2,0.25,4,1,0.25,4,1,0.25,8,8,1,0,2,2,MIA,East,Southeast,Home,Win,2
3/9/18,9:00,Regular,Harris,Devin,DEN,West,Northwest,Home,Win,1,Orr,J.T.,Garretson,Ron,Kennedy,Bill,Devin Harris,Bench,16,PG,75,185,2/27/83,12,1,0,0,0,2,7,4,0.5714,4,2,0.5,3,2,0.6667,3,2,0.6667,0,0,0,LAL,West,Pacific,Away,Loss,1
3/15/18,9:00,Regular,Harris,Devin,DEN,West,Northwest,Home,Win,1,Goble,Jacyn,Kogut,Marat,Callahan,Mike,Devin Harris,Bench,15,PG,75,185,2/27/83,12,2,0,0,0,0,6,3,0.5,3,2,0.6667,3,1,0.3333,5,5,1,0,1,1,DET,East,Central,Away,Loss,2
3/30/18,8:00,Regular,Harris,Devin,DEN,West,Northwest,Away,Win,3,Goble,Jacyn,Lindsay,Mark,Callahan,Mike,Devin Harris,Bench,34,PG,75,185,2/27/83,12,2,1,2,0,4,6,4,0.6667,2,2,1,4,2,0.5,2,2,1,0,3,3,OKC,West,Northwest,Home,Loss,1
3/11/18,5:00,Regular,Harris,Devin,DEN,West,Northwest,Home,Win,1,Smith,Aaron,Kirkland,Courtney,Zarba,Zach,Devin Harris,Bench,20,PG,75,185,2/27/83,11,1,2,0,0,5,7,4,0.5714,1,1,1,6,3,0.5,1,0,0,0,1,1,SAC,West,Pacific,Away,Loss,1
3/17/18,8:00,Regular,Harris,Devin,DEN,West,Northwest,Away,Loss,1,Wright,Sean,Lane,Karl,Blair,Curtis,Devin Harris,Bench,26,PG,75,185,2/27/83,10,2,0,1,0,1,6,3,0.5,2,1,0.5,4,2,0.5,4,2,0.5,0,2,2,MEM,West,Southwest,Home,Win,2
3/23/18,7:00,Regular,Harris,Devin,DEN,West,Northwest,Away,Win,1,Fitzgerald,Kane,Maddox,Tre,Corbin,Sean,Devin Harris,Bench,28,PG,75,185,2/27/83,10,4,1,0,0,2,10,4,0.4,6,2,0.3333,4,2,0.5,0,0,0,0,1,1,WAS,East,Southeast,Home,Loss,1
4/7/18,3:30,Regular,Harris,Devin,DEN,West,Northwest,Away,Win,1,Zielinski,Gary,Wood,Leon,Davis,Marc,Devin Harris,Bench,23,PG,75,185,2/27/83,10,5,0,0,0,0,7,3,0.4286,3,1,0.3333,4,2,0.5,4,2,0.5,0,1,1,LAC,West,Pacific,Home,Loss,1
2/10/18,9:00,Regular,Harris,Devin,DEN,West,Northwest,Away,Win,1,Goble,John,Kogut,Marat,Holtkamp,Lauren,Devin Harris,Bench,22,PG,75,185,2/27/83,9,1,2,2,0,4,7,3,0.4286,4,2,0.5,3,1,0.3333,2,2,1,0,2,2,PHO,West,Pacific,Home,Loss,2
3/2/18,8:00,Regular,Harris,Devin,DEN,West,Northwest,Away,Win,2,Kogut,Marat,Cutler,Kevin,Brothers,Tony,Devin Harris,Bench,18,PG,75,185,2/27/83,8,1,1,2,0,3,5,2,0.4,3,1,0.3333,2,1,0.5,3,3,1,0,0,0,MEM,West,Southwest,Home,Loss,2
2/13/18,10:30,Regular,Harris,Devin,DEN,West,Northwest,Home,Win,3,Orr,J.T.,Zielinski,Gary,Washington,Tom,Devin Harris,Bench,20,PG,75,185,2/27/83,7,3,1,1,0,3,4,1,0.25,0,0,0,4,1,0.25,4,4,1,0,1,1,SA,West,Southwest,Away,Loss,1
3/6/18,8:30,Regular,Harris,Devin,DEN,West,Northwest,Away,Loss,3,Zielinski,Gary,Wall,Scott,Capers,James,Devin Harris,Bench,22,PG,75,185,2/27/83,7,3,1,0,2,2,9,3,0.3333,4,2,0.5,5,1,0.2,0,0,0,1,4,5,DAL,West,Southwest,Home,Win,2
3/7/18,10:30,Regular,Harris,Devin,DEN,West,Northwest,Home,Loss,1,Tiven,Josh,Wood,Leon,Phillips,Jason,Devin Harris,Bench,15,PG,75,185,2/27/83,7,2,0,1,1,1,5,3,0.6,2,2,1,3,1,0.3333,0,0,0,0,2,2,CLE,East,Central,Away,Win,2
3/27/18,7:30,Regular,Harris,Devin,DEN,West,Northwest,Away,Loss,1,Mauer,Ken,Richardson,Derek,Collins,Derrick,Devin Harris,Bench,23,PG,75,185,2/27/83,7,4,2,0,0,3,5,1,0.2,3,1,0.3333,2,0,0,6,5,0.8333,0,2,2,TOR,East,Atlantic,Home,Win,2
2/15/18,8:00,Regular,Harris,Devin,DEN,West,Northwest,Away,Win,1,Wright,Sean,Wall,Scott,Collins,Derrick,Devin Harris,Bench,19,PG,75,185,2/27/83,6,4,0,0,0,0,6,2,0.3333,1,0,0,5,2,0.4,0,0,0,0,1,1,MIL,East,Central,Home,Loss,2
2/25/18,8:00,Regular,Harris,Devin,DEN,West,Northwest,Home,Loss,1,Taylor,Dedric,Davis,Marc,Lewis,Eric,Devin Harris,Bench,12,PG,75,185,2/27/83,6,1,0,0,0,4,3,2,0.6667,2,1,0.5,1,1,1,1,1,1,0,0,0,HOU,West,Southwest,Away,Win,2
2/27/18,10:30,Regular,Harris,Devin,DEN,West,Northwest,Home,Loss,4,Maddox,Tre,Stafford,Derrick,Ayotte,Mark,Devin Harris,Bench,12,PG,75,185,2/27/83,5,2,1,0,0,1,6,2,0.3333,3,2,0.6667,3,0,0,1,1,1,0,0,0,LAC,West,Pacific,Away,Win,4
3/13/18,10:30,Regular,Harris,Devin,DEN,West,Northwest,Away,Loss,2,Workman,Haywoode,Corbin,Sean,Washington,Tom,Devin Harris,Bench,14,PG,75,185,2/27/83,5,0,0,2,0,2,5,2,0.4,1,1,1,4,1,0.25,0,0,0,0,0,0,LAL,West,Pacific,Home,Win,2
3/26/18,7:00,Regular,Harris,Devin,DEN,West,Northwest,Away,Loss,3,Orr,J.T.,Foster,Scott,Mott,Rodney,Devin Harris,Bench,21,PG,75,185,2/27/83,5,3,1,2,0,3,6,1,0.1667,3,1,0.3333,3,0,0,4,3,0.75,0,2,2,PHI,East,Atlantic,Home,Win,2
4/1/18,8:00,Regular,Harris,Devin,DEN,West,Northwest,Home,Win,2,Buchert,Nick,Brothers,Tony,Adams,Bennie,Devin Harris,Bench,23,PG,75,185,2/27/83,5,0,2,0,0,2,6,1,0.1667,1,0,0,5,1,0.2,2,2,1,0,0,0,MIL,East,Central,Away,Loss,1
